path,sha256,status,start_pc,stop_pc,instructions,cycles,fetch_penalty,branch_penalty,mispredictions,branches,branches_taken,branches_not_taken,loads,stores,coremark_per_mhz,modeled_coremark_per_mj,error
layout/coremark-layout-pad16-iterations-2000.elf,259d8ae99dfdcce1e1c6cb067a1071b4157b30a9480bacc5efcfe79eb14b20bf,OK,0x000001a6,0x000001f2,365565675,391817279,15493054,10758550,1326267,91597704,37164007,54433697,87753087,21276199,5.10442011415224,232.0190960978291,
layout/coremark-layout-unpadded-iterations-2000.elf,8193476f2039417f313706d2bc8c6c5669446973a51beacd5f31102f997fa59b,OK,0x000001a6,0x000001f2,365565675,389577872,13253647,10758550,1326267,91597704,37164007,54433697,87753087,21276199,5.13376180667674,233.3528093943973,
target-default/coremark-target-default-iterations-2000.elf,9862f7eafa841ac0656bd6644a4ac22c5379e479caac4535ed84e7e89635f08e,OK,0x000001aa,0x000001fa,367635179,392856671,14448943,10772549,1326267,91603704,37056007,54547697,88321087,21518199,5.090915205561063,231.40523661641197,
