revision,elf_sha256,iterations,instructions,cycles,fetch_penalty,branch_penalty,soft_misses,hard_misses,invalid_fills,replacements,sequential_hard_misses,nonsequential_hard_misses,coremark_per_mhz
6b53b974280438b49f44783753f92f90b4c00558,1de35143089abfb23a1ba881d2c3487f11257b3d3e2c0aedd6a1030c5852bb12,2000,368643383,392663566,13247634,10772549,765614,1248202,13,1248189,932041,316161,5.093418827658688
9e3ea11a5397d96d86fb30cc3dae93bb6186ff9d,520e21d79c95321b8672224970e27892fa23e8482b71e4a890773e092126cb92,2000,368467373,393437062,14197140,10772549,416200,1378094,18,1378076,1005490,372604,5.0834051826058015
